name,eur,PRODUCTS,BUYER
Germany,1678631.54,Cellebrite Premium,Police of North Rhine Westfalia - Landeskriminalamt Nordrhein-Westfalen
Germany,1609187.56,"Forensic products - The application is used nationwide for the purposes of crime investigation and prevention.

The forensic units are attached to the individual police inspectorates, which vary in size (full-time equivalent staff positions). However, the applications used are standardized across all units.

The Cellebrite products are required to maintain operational continuity and ongoing service activities.",Police of Lower Saxony - Zentrale Polizeidirektion Niedersachsen
Norway,1600000,Cellebrite licenses - Framework agreement to cover the Norwegian Tax Administration's need for licences for Cellebrite.,National Tax Agency - Skatteetaten
Germany,1547011.74,NA,Police of North Rhine Westfalia - Landesamt für Zentrale Polizeiliche Dienste NRW
Germany,1300000,"1 year licenses for Cellebrite Inseyets. LOT-0001: Landeslizenz Cellebrite Inseyets. New Inseyets licenses for the forensic laboratories of the Lower Saxony Police, as well as their partner agencies in Lower Saxony, for one year (2026)","Police of Lower Saxony - Zentrale Polizeidirektion Niedersachsen
"
Germany,1260503,License renewal,Police of North Rhine Westfalia - Landeskriminalamt Nordrhein-Westfalen
Spain,1230476.82,Renewal of data extraction software - Contratos de: División Económica y Técnica (Cuerpo Nacional de Policía). Objeto: Renovación de suscripción de software y hardware forense Cellebrite 2022-2025 para la DGP. Expediente: Z22IN020/T40.,National Police - División Económica y Técnica (Cuerpo Nacional de Policía)
Austria,980844.78,Cellebrite products,Ministry of Interior - Federal Ministry of the Interior - Section IV/Group DDS/Department 7/Department b (Asset and Contract Management)
United Kingdom,878351.7538,Renewal of Cellebrite licences,The Police and Crime Commissioner for Kent
Croatia,853124,3-year license for Cellebrite Inseyets - LOT-0000: Licenca za forenzički alat Cellebrite Inseyets online pro 3 godišnja pretplata,Ministry of the Interior
United Kingdom,669265.3568,Cellebrite Inseyets Licenses,Department for Work and Pensions
Austria,626713.59,Cellebrite products,Ministry of Interior - Federal Ministry of the Interior - Section IV/Group DDS/Department 7/Department b (Asset and Contract Management)
Spain,612400,"Renewal of Cellebrite licenses - Renovación De Las Suscripciones De Un Conjunto De Licencias Del Producto Cellebrite O Equivalente, Con Destino A Las Unidades Operativas Del Cuerpo De La Guardia Civil, Por Un Periodo De 12 Meses, A Partir Del 15 De Noviembre De 2025. (Servicio De Contratacion De La Dir. General De La Guardia Civil. Mº Interior)
Spain, Madrid (ES300) - Renewal of the subscriptions of a set of licences for the product Cellebrite or equivalent, for the operational units of the Guardia Civil, for a period of 12 months, starting from 15 November 2025",Guardia Civil - Servicio De Contratacion De La Dir. General De La Guardia Civil. Mº Interior
United Kingdom,596906.3763,Renewal of licenses and support. Provision of a Licence Software Support and Maintenance renewal for the currently utilised Cellebrite software licences with Police Scotland.,Scottish Police Authority
Germany,527841.74,2-year renewal of UFED Cellebrite licenses,Berlin Police - Polizei Berlin
Spain,494990,Renewal of data extraction software - Contratación de renovación de suscripción de software avanzado de extracción de datos móviles forense 2023-2026 para la D.G.P.,National Police - División Económica y Técnica (Cuerpo Nacional de Policía)
Italy,482256.24,"Cellebrite Inseyets Pro - LOT-0001: Acquisizione della tecnologia avanzata di mobile forensics denominata “Inseyets Online Pro”, prodotta dalla Cellebrite Ltd.",Guardia di Finanza - Italy’s General Command of the Guardia di Finanza.
Latvia,427270,Cellebrite software update,State Police - Valsts policija
United Kingdom,403559.3307,"1 year Cellebrite software licenses. A new contract has been awarded to Akhter Computers Ltd for the provision of Cellebrite software licences and associated hardware, The total value of the contract is £344,099.02 (excluding VAT) over a two-year period, commencing on 31st July 2025 and running until 1st August 2026. The agreement includes an option to extend for a further year if required. Akhter Computers Ltd will act as the authorised reseller for Cellebrite products on behalf of the force.",The Police and Crime Commissioner for Nottinghamshire
Italy,395292,"Cellebrite Inseyets Pro -  Lot: LOT-0001
Title: acquisizione della soluzione software Cellebrite “Inseyets Online Pro”
Description: acquisizione della soluzione software Cellebrite “Inseyets Online Pro”",Guardia di Finanza - Italy’s General Command of the Guardia di Finanza.
Austria,389990,Cellebrite products,Ministry of Interior - Federal Ministry of the Interior - Section IV/Group DDS/Department 7/Department b (Asset and Contract Management)
United Kingdom,385485.1691,"Licenses renewal for Cellebrite Digital Collector, Inseyets, Physical Extraction. Cellebrite software is used to extract digital forensics data from mobile devices at police stations (Level 1 mobile forensics) and at FHQ in the Digital Hub (Level 2 mobile forensics.). Renewal of contracts for: 

x2 Digital Collector Subscription
x 20 Responder Logical Extraction Subscription
x 2 Digital Collector Single Licenses 1 Year Subscription
x 5 Inseyets On-Prem Pro
x1 Inseyets On-Prem Unlimited Unlocks
x 4 Inseyets Online Pro
x7 Inseyets Pro PA Stand Alone
x2 Responder Physical Extraction Subscription
x1 Inseyets On-Prem Pro
x2 Responder Physical Extraction Subscription",The Police and Crime Commissioner for Leicestershire
Poland,381945.44,Renewal of UFED 4PC licenses - LOT-0001: Dostawa licencji aktualizacyjnych do zakupionych zestawów UFED 4PC (firmy Cellebrite) – 8szt. - Delivery of update (renewal) licences for purchased UFED 4PC sets (by Cellebrite),Tax Administration Chamber of Opole - Izba Administracji Skarbowej w Opolu - Poland.
Austria,369541.53,Cellebrite products,Ministry of Interior - Federal Ministry of the Interior - Section IV/Group DDS/Department 7/Department b (Asset and Contract Management)
United Kingdom,364622.9101,"Cellebrite licenses. North Wales Police Digital Forensics Unit (DFU) have invested and implemented a solution that is fit for purpose and complies with ISO 17025 accreditation requirements. Cellebrite as a company is forever growing and improving its services to support law enforcement and digital forensics labs. This allows labs to offer a service of extracting data from mobile devices, whilst keeping up with the forever changing landscape of technology by improving the capabilities for password recovery, bypassing and brute forcing.",Police and Crime Commissioner for North Wales Police & North Wales Police
Austria,355230,Cellebrite licenses up to December 2025,Federal Computing Center - Bundesrechenzentrum Gesellschaft mit beschränkter Haftung
Austria,302655,Cellebrite products,Ministry of Interior - Federal Ministry of the Interior - Section IV/Group DDS/Department 7/Department b (Asset and Contract Management)
Austria,302655,Cellebrite products,Ministry of Interior - Federal Ministry of the Interior - Section IV/Group DDS/Department 7/Department b (Asset and Contract Management)
Hungary,302522.75,Licenses for Cellebrite Inseyets Pro - LOT-0001: Cellebrite Inseyets online Pro upgrade,Rapid Response Police Unit - Készenléti Rendőrség - “Mobile Police Unit
United Kingdom,295545.6,"Phone and device extraction tools. North Wales Police Digital Forensic Unit (DFU) have invested and implemented a solution that is fit for purpose and complies with ISO 17025 accreditation requirements. Cellebrite as a company is forever growing and improving its services to support law enforcement and digital forensics labs. This allows labs to offer a service of extracting data from mobile devices, whilst keeping up with the forever changing landscape of technology by improving the capabilities for password recovery, bypassing and brute forcing.",Police and Crime Commissioner for North Wales
Lithuania,282738.84,2-year renewal of Cellebrite UFED licenses and support - Extension of Software Maintenance Services (SMS) technical support. 2 years.,National Police - Policijos departamentas prie Lietuvos Respublikos vidaus reikalų ministerijos -  Police Department under the Ministry of the Interior of the Republic of Lithuania
Italy,268461,"1 year Renewal of 27 Cellebrite licenses - Renewal, for a period of n. 12 months, of n. 27 Cellebrite licenses of two types, for the needs of the Carabinieri",Carabinieri (Military police) - General Command of the Carabinieri
United Kingdom,268155.3134,"1 year Cellebrite Kiosk and training via the HealthTrust Europe ICT Solutions 2023 - Defra has awarded a contract to Cellebrite via the HealthTrust Europe ICT Solutions 2023 Digital Technology Framework. Cellebrite Kiosks will aid the Environment Agency (EA) with future Investigations.
The contract is awarded for 12 months, with no options to extend. EA require 8 triage kiosks with associated training and support to securely transfer data from digital devices to screen, helping to expedite their investigations.","Department for Environment, Food, Rural Affairs"
United Kingdom,260143.3302,Software and support. Police and Crime Commissioner for Cleveland are looking to award a contract directly with Cellebrite utilising the Voluntary Ex-Ante Transparency (VEAT) Notice to purchase software directly from them which includes ongoing support.,Police & Crime Commissioner for Cleveland
Croatia,244645,Cellebrite Licenses - Maintenance of licenses for forensics software (EnCase and Cellebrate licenses) -,Ministry of the Interior
Austria,243165.6,Cellebrite products,Ministry of Interior - Federal Ministry of the Interior - Section IV/Group DDS/Department 7/Department b (Asset and Contract Management)
United Kingdom,240459.4772,1 year renewal of Cellebrite licenses,Police and Crime Commissioner for Bedfordshire
United Kingdom,228900.0672,Licenses renewal,The Police and Crime Commissioner for Northumbria
Italy,224720,"Licenses for Cellebrite Inspector and Digital Collector - The ENTERPRISE project aims at empowering the technological equipment of Guardia di Finanza’s units with modern and highly advanced digital forensics tools, in the fighting against fraudulent irregularities, fraud and corruption detrimental to the EU financial interests. This target will be pursuit through the purchase network licenses of digital forensics software and the creation of a central management, allowing the whole LEA to share licenses among law enforcement operators in compliance with internal rules, operational needs and threats (metti una lista di quello che compri, ad esempio:) - n. 10 network licenses of the software Cellebrite Inspector; - n. 34 licenses of the software Cellebrite Digital Collector; - n. 15 network licenses of the software Access Data FTK; - n. 110 MacBook workstations necessary for the use of Cellebrite Digital Collector software; - training e-learning session, included in the software supplies, for at least 110 operators of GdF, involved in the use of the above mentioned equipment. Specific forensic software will allow the LEA to improve its investigative power by getting advantage of a huge source of information that was accessible partially and/or with unacceptable delay without proper equipment. Thanks also to a central software licensing system, we will be able to install new software and to share the available licenses among many operators all over the Country.",Guardia di Finanza - Italy’s General Command of the Guardia di Finanza.
United Kingdom,216940.8145,"Renewal of digital forensics software licensing.
This a continuation of an existing agreement and competition is absent for technical reasons. There would be significant disruption, costs and time, to competitive tender that would impact on the delivery and there would be further accreditation issues.",The Police and Crime Commissioner for Leicestershire
Austria,184298,Cellebrite Premium,Federal Computing Center - Bundesrechenzentrum Gesellschaft mit beschränkter Haftung
Spain,181125,1 year renewal of Cellebrite licenses - La Renovación De Diversas Licencias Del Fabricante Cellebrite (O Equivalente) Para Distintas Unidades De La Guardia Civil Por Un Periodo De Doce (12) Meses.,National Police - División Económica y Técnica (Cuerpo Nacional de Policía)
Poland,179683.88,"5-year licences for Cellebrite UFED4PC- Lot: LOT-0007: Przedmiotem zamówienia jest Cellebrite UFED 4PC . The police are buying 3 Cellebrite UFED 4PC licenses with 5 years of updates, delivered within 7 days, with license start dates carefully aligned so no paid license time is wasted, as part of Lot 7 of a larger software tender.",Provincial Police Katowice
Bulgaria,177553.78,Cellebrite Touch 2 (workstation and licenses) - Supply of a license for the Cellebrite Touch 2 software product.,General Directorate for Combating Organised Crime
Poland,171738.79,"Cellebrite Inseyets Pro - Lot: LOT-0001
Title: Dostawa oprogramowania z zakresu informatyki śledczej określonego w zadaniu nr 1
Description: Dostawa oprogramowania z zakresu informatyki śledczej Cellebrite Inseyets Pro Online - szczegółowo opisanego w załączniku nr 1A oraz 3 SWZ",Provincial Police Białystok
Romania,161382.55,Renewal and maintenance/support for Cellebrite UFED,General Police Inspectorate - INSPECTORATUL GENERAL AL POLITIEI ROMANE
Estonia,159795.14,"Cellebrite digital forensic software and training - Lot: LOT-0000
Title: Digikriminalistika tarkvara Cellebrite litsentsid ja koolitused
Description: Digikriminalistika tarkvara Cellebrite litsentsid ja koolitused / Kõrvaldamise alused ja kvalifitseerimistingimused: Vaata hanke alusdokumentidest LOT-0000 is a brand-specific contract for purchasing Cellebrite digital forensic software licences together with user training",Ministry of the Interior IT Center - Information Technology and Development Center
Lithuania,158236.54,Cellebrite UFED Premium Software License Renewal and Maintenance Services,National Police - Policijos departamentas prie Lietuvos Respublikos vidaus reikalų ministerijos -  Police Department under the Ministry of the Interior of the Republic of Lithuania
Spain,156308,23 licenses for Cellebrite UFED 4PC - 23 Licencias Cellebrite Ufed 4Pc Ultimate Subscription (O Equivalente) (1.932.600),Guardia Civil - Ministero del Interior
United Kingdom,151978.3318,Renewal of Cellebrite Digital Forensic software for year 2024/25,The Police and Crime Commissioner for Leicestershire
Lithuania,148400,"1-year renewal of licenses and support services for Cellebrite Inseyets :

Cellebrite Inseyets On-Prem Unlimited Unlocks (or equivalent) – 1 license;
Cellebrite Inseyets Online Pro (or equivalent) – 1 license;
Cellebrite Inseyets Online Pro (or equivalent) – 1 license.",National Police - Policijos departamentas prie Lietuvos Respublikos vidaus reikalų ministerijos -  Police Department under the Ministry of the Interior of the Republic of Lithuania
Belgium,143000,"Licenses for Cellebrite UFED 4PC and Cloud Analyzer - Maintenance des logiciels  « UFED 4PC» et « Cloud Analyzer » de Cellebrite
Marché pluriannuel de services  pour la maintenance des licences UFED 4 PC au profit des F-RCCU de la Police Judiciaire Fédérale.",Federal Judicial Police
Estonia,138444.27,Renewal of Cellebrite licenses,Ministry of the Interior IT Center - Information Technology and Development Center
Portugal,132105.82,"Training - Descrição        Projeto PT/2019/FSI/505 - Cyber Trainning - Certificação avançada para peritos forenses
Fundamentação para recurso ao ajuste direto (se aplicável)        ausência de recursos próprios . Objeto do contrato: Formação para uso de ferramentas informáticas Cellebrite para peritos forenses",Judicial Police - Polícia Judiciária (600011712)
United Kingdom,131353.6,"Cellebrite licenses
Software and platform for law enforcement to legally extract, analyse, and manage data from digital devices for investigations, helping to solve crimes, conduct internal reviews, and gather evidence.",Police and Crime Commissioner For Durham
Poland,130098.3,Renewal of UFED licenses - LOT-0001: Zadanie nr 1: Aktualizacja oprogramowania UFED - Update (renewal) of UFED software - (UFED is a mobile forensic software product made by Cellebrite),Military gendarmerie - ODDZIAŁ ZABEZPIECZENIA ŻANDARMERII WOJSKOWEJ
Poland,127954.76,"Licenses for Cellebrite Inseyets Online Pro - Lot: LOT-0006
Title: zad 6-Przedmiotem zamówienia jest dostawa specjalistycznego oprogramowania ma potrzeby Zarządu w Gdańsku Centralnego Biura Zwalczania Cyberprzestępczości.
Description: Dostawa pakietu oprogramowania umożliwiającego dostęp do danych przechowywanych na urządzeniach mobilnych np.: Cellebrite Inseyets Online Pro (UFED 4PC Ultimate) – 2 sztuki Delivery of a software package enabling access to data stored on mobile devices, e.g. Cellebrite Inseyets Online Pro (UFED 4PC Ultimate) – 2 units",Provincial Police Gdańsk (for the CBCZ local department)Komenda Wojewódzka Policji w Gdańsku
Belgium,118560,"Apple computer investigation software - Lot: LOT-0003 Title: 2026R3019 - 3- Software pour la réalisation d'une copie forensique de systèmes MAC OS Description: Software pour la réalisation d'une copie forensique de systèmes MAC OS LOT-0003 is a contract lot for software that creates forensically valid copies (images) of macOS systems, forming the evidence-preservation step in Apple computer investigations.",Federal Police
United Kingdom,117195.5584,One year Cellebrite Forensic Software renewal,City of London Corporation
Latvia,115270,"Licenses for Cellebrite Inseyets - Pro LOT-0001: Programmnodrošinājums: Cellebrite Inseyets Pro Online, Maltego Enterprise",State Police - Valsts policija
Austria,115017,1-year upgrade of Cellebrite Premium Licenses,Ministry of Justice - Bundesministerium für Justiz - Sektion III/Präsidialsektion/Gruppe Budget und Infrastruktur/Abteilung 3
Belgium,113009,"Licenses for Cellebrite Digital Collector, Digital Inspector and UFED 4PC - Lot: LOT-0011
Description: Cellebrite Digital Collecter ou équivalent
Lot: LOT-0012
Description: Cellebrite Digital Inspector ou équivalent
Lot: LOT-0003
Description: Cellebrite UFED 4PC license renewal 2024-2028- Ultimate ou équivalent (non assigned)",SPF Finances
United Kingdom,112588.8,"Digital forensic traning package for Cellebrite products,for 30 officers. Training package: 17 Digital Forensics Officers to undertake 2-day Cellebrite Certified Operator (CCO) and 3-day Cellebrite Certified Physical Analyst (CCPA) training courses.

The CCO guides participants through installing and configuring UFED Touch and UFED 4PC to conduct mobile device extractions. Participants will gain experience conducting Logical, File System, and Physical extractions, and creating shareable UFDR reports to streamline the investigative process.

The CCPA course focuses on the analysis and advanced search techniques using Physical Analyzer. Physical Analyzer software will be used extensively to explore recovered deleted data, database contents, advanced search and analysis techniques, verification and validation, and reporting.

13 Digital Forensics Officers to undertake the 2 day Cellebrite Mobile Forensics Fundamentals (CMFF) to provide them with compulsory forensics fundamental knowledge including mobile device communication networks, explorations of Android and ios file systems, extraction methodologies, memory (NAND) functions and the proper handling of digital evidence for use in administrative, civil and criminal actions. To include • installing and configuring UFED Touch and UFED 4PC to conduct mobile device extractions

• conducting Logical, File System, and Physical extractions, and creating shareable UFDR reports to streamline the investigative process

• Analysis and advanced search techniques using Physical Analyzer.

• Using Physical Analyzer software extensively to explore recovered deleted data, database contents, advanced search and analysis techniques, verification and validation, and reporting

• compulsory forensics fundamental knowledge including mobile device communication networks, explorations of Android and ios file systems, extraction methodologies, memory (NAND) functions and the proper handling of digital evidence for use in administrative, civil and criminal actions.",Department for Work and Pensions
United Kingdom,111642.2097,"1 year licenses renewal - 
The procurement of the SaaS is to renew the existing licences in place within the City of London Police and to enable the acquisition of critical digital evidence in investigations.",The Mayor and Commonalty of the City of London
Lithuania,110800,"3-year licenses for Cellebrite Inseyets Pro Online and Digital Collector (or equivalent), with 3 years of support and maintenance. Cellebrite Digital Collector software for the examination of Apple computers (or equivalent). Extension of Software Maintenance Services (SMS) support for the Cellebrite Digital Collector software for a period of 36 months",National Police - Policijos departamentas prie Lietuvos Respublikos vidaus reikalų ministerijos -  Police Department under the Ministry of the Interior of the Republic of Lithuania
United Kingdom,108792.8921,"1 year licenses for Inseyets Online Pro 3, Digital Inspector, Digital Collector. 
Inseyets Pro PA Stand Alone 3
Inseyets Online Limited Unlocks subscription 65
Inseyets Online Pro 1
Inseyets Pro PA Stand Alone 4
Inspector Subscription 1
Digital Collector Subscription 1
Digital Collector Subscription 1
Inspector Subscription 1",Serious Fraud Office
United Kingdom,106268.5808,"1 year renewal of licenses for UFED and Premium - The renewal of the existing Cellebrite digital forensic software running on appliances known as Universal Forensic Extraction Devices (UFED). For the Service Police Crime Bureau (SPCB), Cyber Crime Centre (3C).
Army Headquarters is responsible for overseeing all non-MODNET ICS procurements for the Army.
Twelve (12) month contract for the Software Licences inclusive of perpetual Software, Maintenance and Support for 'Defence Police' CELLEBRITE contract. To commence on 06 December 2023 until 05 December 2024.
SPCB 3C is responsible for extracting Electronically Stored Information (ESI) from digital storage devices and the subsequent forensic analysis of the ESI in support of Service Police investigations.
SPCB 3C currently utilise Cellebrite specialist tools for mobile, smartphone and PDA forensics known as Universal Forensic Extraction Devices (UFED) to search, interrogate, extract, and analyse electronic media on a multitude of digital devices in order to generate a standardised evidential product.
SPCB 3C currently utilise an offline version of Cellebrite Premium for advanced exploitation. A more efficient Premium product is now available, Premium as a service, which downloads exploit tokens to defeat mobile locking mechanisms, making this product more efficient and improved service support. Changing the offline package to the Premium as a Service is required to speed up the processes and reduce costs.",Ministry of Defence
United Kingdom,106260.3712,"1 year renewal of Cellebrite forensic systems. Cellebrite is an advanced software capability tool which Kent and Essex Digital Forensic Teams have possessed for a number of years TO use for unlocking
phones. Allows Digital Forensic Examiners to acquire high quality evidence from devices used by suspects, victims and witnesses. A ""related"" Premium ES EVS, Premium End Points, Commander, UFED 4PCs
must be aligned to 1 expiry date ensuring uninterrupted services. The 28th June
2025 has been chosen as this is when the larger 3 year Premium contract is due to expire.",Kent Constabulary
United Kingdom,104377.8513,One year license renewal Renewal of software service contract for specialist Digital Forensic work,Serious Fraud Office
Austria,100272.5,Cellebrite Inseyets,Ministry of Interior - Federal Ministry of the Interior - Section IV/Group DDS/Department 7/Department b (Asset and Contract Management)
United Kingdom,99570.72,"1 year software renewal for Cellebrite Premium. This is an annual software licence renewal for the Cellebrite Premium un limited unlocking/decryption software for iOS and Android mobile devices. We already have and use this software extensively as part of Police investigations where mobile devices are locked and or encrypted. Without the software, we potentially cannot locate or obtain critical evidence in Police investigations",City of London Corporation
Belgium,99060,"MAC OS forensic analysis software - Lot: LOT-0005 Title: 2026R3019 - 5- Software pour l'analyse forensique des appareils MAC OS à l'aide d'un PC MAC OS Description: Software pour l'analyse forensique des appareils MAC OS à l'aide d'un PC MAC OS. Forensic software that allows investigators to analyse Apple macOS computers, using a Mac computer as the forensic workstation.",Federal Police
Estonia,96212.48,Cellebrite licenses (right of use).,Ministry of the Interior IT Center - Information Technology and Development Center
United Kingdom,93039.3968,Cellebrite Premium License,City of London Corporation
Spain,87810,"Purchase of 15 Cellebrite UFED workstations - Adquisición de 15 analizadores de dispositivos móviles Cellebrite UFED Touch II Ultimated Standard, con destino a la CGEF de la DGP.
",National Police - División Económica y Técnica (Cuerpo Nacional de Policía)
Austria,86400,Cellebrite products,Ministry of Interior - Federal Ministry of the Interior - Section IV/Group DDS/Department 7/Department b (Asset and Contract Management)
United Kingdom,85567.488,"Licenses and support. Licence subscription, maintenance and support to allow for the extraction and analysis of data from mobile devices as part of investigations.",Police of Northumbria
United Kingdom,83381.85792,1 year renewal of Cellebrite UFED. Provision of CRIMES Cellebrite UFED Digital Forensic SW Licence Renewals,Ministry of Defence
Austria,79493.39,Cellebrite products,Ministry of Interior - Federal Ministry of the Interior - Section IV/Group DDS/Department 7/Department b (Asset and Contract Management)
Austria,79384,Cellebrite products,Police of Tirol - Landespolizeidirektion
Austria,74815,Cellebrite Pathfinder,Ministry of Interior - Federal Ministry of the Interior - Section IV/Group DDS/Department 7/Department b (Asset and Contract Management)
Austria,74800,Cellebrite products,Ministry of Interior - Federal Ministry of the Interior - Section IV/Group DDS/Department 7/Department b (Asset and Contract Management)
United Kingdom,72353.5504,"Renewal of Cellebrite UFED contracts. SPCB DFD is responsible for extracting Electronically Stored Information (ESI) from digital storage devices and the subsequent forensic analysis of the ESI in support of Service Police investigations.
SPCB DFD currently utilise Cellebrite specialist tools for mobile, smartphone and PDA forensics known as Universal Forensic Extraction Devices (UFED) to search, interrogate, extract, and analyse electronic media on a multitude of digital devices in order to generate a standardised evidential product.
SPCB DFD Premium as a service is used for advanced exploitation which downloads exploit tokens to defeat mobile locking mechanisms, with 140 credits is required to speed up the processes and reduce costs.",Ministry of Defence
United Kingdom,72282.06824,License renewal,Serious Fraud Office
Czechia,68400,"1-year licenses for Cellebrite Inspector, Inseyets, Digital Collector.",Regional Police of Moravia-Slesia - Krajské ředitelství policie Moravskoslezského kraje
Portugal,63620,Renewal of licenses. Renovação da Subscrição do Licenciamento do software forense - CELLEBRITE,General Prosecutor's Office - Procuradoria-Geral da República
Austria,60900,Cellebrite UFED,Austrian Armed Forces - BMLV/Abteilung Informations und Kommunikationstechnologie Systeme
Austria,59565,Cellebrite products,Ministry of Interior - Federal Ministry of the Interior - Section IV/Group DDS/Department 7/Department b (Asset and Contract Management)
Spain,59500,Cellebrite Commander and Cellebrite Enterprise Premium,National Police - División Económica y Técnica (Cuerpo Nacional de Policía)
Portugal,59347,Renewal of UFED licenses. Renovação da subscrição do licenciamento do software – Cellebrite UFED,General Prosecutor's Office - Procuradoria-Geral da República
Romania,59065,Cellebrite licenses,National Anti-corruption Directorate - DIRECTIA NATIONALA ANTICORUPTIE
Austria,58902,Cellebrite products,Police of Lower Austria - Landespolizeidirektion Niederösterreich - Logistikabteilung
Estonia,55997.5,Renewal of licenses for Cellebrite software until 31.05.2026,Ministry of the Interior IT Center - Information Technology and Development Center
Austria,53311,Cellebrite products,Ministry of Interior - Federal Ministry of the Interior - Section IV/Group DDS/Department 7/Department b (Asset and Contract Management)
Latvia,52762,"Licenses for Cellebrite Inseyets Pro and Autonomy Lab Workstations - 
Lot 4 – Cellebrite Inseyets Pro Online unlocks;
Lot 5 – Procurement of licenses for Cellebrite Autonomy Lab Workstations;",State Police - Valsts policija
Poland,52298.24,"1-year licence for Cellebrite UFED 4PC- Lot: LOT-0031:Przedmiotem zamówienia jest Cellebrite UFED 4PC Lot 31 is a standalone contract for 4 Cellebrite UFED 4PC licenses with 1-year updates, delivered within 7 days, with activation timed to avoid overlap with existing licenses.",Provincial Police Katowice
Austria,50526,Cellebrite products,Ministry of Justice - Bundesministerium für Justiz - Sektion III/Präsidialsektion/Gruppe Budget und Infrastruktur/Abteilung 4
Poland,48472.73,License renewal for Cellebrite UFED 4PC - Przedmiotem zamówienia jest dostawa aktualizacja oprogramowania Cellebrite UFED 4PC Ultimate - szczegółowy opis przedmiotu zamówienia zawarty został w załączniku nr 1 do SWZ dla danej części. LOT-0018 is a standalone contract for renewing (updating) existing Cellebrite UFED 4PC Ultimate licences,"National cybercrime police - Centralne Biuro Zwalczania Cyberprzestępczości (CBZC)
→ Poland’s national cybercrime police authority, specifically its Poznań command."
