startCountry,Agency (1),Agency (2),Date of signature,Entry into force,Type,Title,Purpose,Types of data exchanged,Other,Link/Source (1),Link/Source (2),startLng,startLat,endCountry,endLat,endLng,n
United States,NA,NA,NA,NA,Terrorist screening information,Agreement for the Exchange of Terrorism Screening Information,NA,NA,Required under Visa Waiver Programme but no public information available,NA,NA,-103.62956281697637,44.74373159693697,Austria,47.59229344198097,14.110430068197674,2
United States,NA,NA,2011-09-20,NA,Law enforcement,Agreement on Preventing and Combating Serious Crime,"""Attorney General Eric Holder today joined Belgian Minister of Justice Stefaan De Clerck and Minister of Interior Annemie Turtelboom to sign an agreement on Preventing and Combating Serious Crime (PCSC), which will allow for the exchange of biometric and biographic data of suspected criminals between the United States and Belgium to bolster counterterrorism and law enforcement efforts while protecting individual privacy.""","Biometric data, biographic data",NA,https://www.justice.gov/opa/pr/united-states-and-belgium-sign-agreement-prevent-and-combat-serious-crime,NA,-103.62956281697637,44.74373159693697,Belgium,50.639131005100424,4.64783125187332,1
United States,NA,NA,NA,NA,Terrorist screening information,Agreement for the Exchange of Terrorism Screening Information,NA,NA,Required under Visa Waiver Programme but no public information available,NA,NA,-103.62956281697637,44.74373159693697,Belgium,50.639131005100424,4.64783125187332,2
United States,NA,NA,NA,NA,Law enforcement,Agreement on Preventing and Combating Serious Crime,NA,NA,Required under Visa Waiver Programme but no public information available,NA,NA,-103.62956281697637,44.74373159693697,Brunei,4.519683731052939,114.72196620732375,1
United States,NA,NA,NA,NA,Law enforcement,Agreement for the Exchange of Terrorism Screening Information,NA,NA,Required under Visa Waiver Programme but no public information available,NA,NA,-103.62956281697637,44.74373159693697,Brunei,4.519683731052939,114.72196620732375,2
United States,NA,NA,2015-03-23,2020-09-17,Exchange of traveller information,Agreement for the exchange of traveller information,"This Agreement establishes a framework between the United States and Bulgaria for the. Parties to utilize their respective border and terrorist screening methodologies and applications and data to identify specific individuals engaged in any international travel who are likely to pose a risk to the other Party, therefore affording the Parties a greater opportunity to prevent, detect, investigate, and prosecute terrorism and other serious crime by such individuals, their associates, and/or supporters, and facilitating the movement of legitimate travel between Bulgaria and the United States of America.","Personal and other information relating to risk assessments of international travellers, derived from: Advance Passenger Information; Passenger Name Records (PNR)",NA,https://www.state.gov/bulgaria-20-917.1,NA,-103.62956281697637,44.74373159693697,Bulgaria,42.77124105326407,25.20913261825221,1
United States,NA,NA,2012-10-10,2013-03-26,Law enforcement,Agreement on Enhancing Cooperation in Preventing and Combating Serious Crime,"Article 2
Purpose of this Agreement
(1) The purpose of this Agreement is to enhance the cooperation between the United States and the Republic of Bulgaria in preventing and combating serious crime.
(2) The search powers provided for under this Agreement shall be used only for prevention, detection and investigation of crime.","Fingerprint data, DNA data, biographic data, other personal data",NA,https://www.state.gov/13-326,NA,-103.62956281697637,44.74373159693697,Bulgaria,42.77124105326407,25.20913261825221,2
United States,Terrorist Screening Center,State Agency for National Security,2014-03-19,2014-03-19,Terrorist screening information,Agreement for the Exchange of Terrorism Screening Information,The purpose of this Agreement is to promote the exchange of Terrorism Screening Information for the sole purpose of enhancing effective counter terrorism efforts. Covers known terrorists and suspected terrorists.,"Biometric data, biographic data",NA,https://www.state.gov/14-319,NA,-103.62956281697637,44.74373159693697,Bulgaria,42.77124105326407,25.20913261825221,3
United States,NA,NA,2012-12-13,2013-11-21,Visa information,Agreement for the Sharing of Visa and Immigration Information,"The purpose of this Agreement is to assist in the administration and enforcement of the Parties' respective immigration laws by:
(a) using Information in order to enforce or administer the immigration laws of the Parties;
(b) furthering the prevention, investigation, or punishment of acts that would constitute a crime rendering a National of a Third Country inadmissible or
removable under the immigration laws of the Party providing the Information; or
(c) facilitating the Parties' adjudication of an application for a visa, admission, or other immigration benefit, or determination of whether an individual is to be ordered removed by providing Information regarding
the admissibility of the individual.","Biographic or biometric data on Nationals of a
Third Country seeking authorization to travel, work, or live in the United States or Canada, and other immigration-related data about Nationals of a Third Country, including data from admissibility decisions rendered in accordance with the respective immigration laws of the Parties. For Queries on Refugee Status Claimants, Information is limited to data related to a visa application and excludes data otherwise provided under the Asylum Annex.",NA,https://www.state.gov/13-1121,NA,-103.62956281697637,44.74373159693697,Canada,60.417766983664805,-96.54862671961152,1
United States,NA,NA,2013-05-30,2017-09-20,Law enforcement,Agreement on Enhancing Cooperation in Preventing and Combating Serious Crime,"Article 2
Purpose and Scope of this Agreement
1. The purpose ofthis Agreement is to enhance the cooperation between the Parties in preventing and combating serious crime.
2. The querying authority provided for under this Agreement shall be used for the detection, prevention and investigation ofserious crime and only ifparticular and legally valid circumstances relating to a specific individual give a reason to inquire whether that individual could commit or has committed such a serious cnme.","Fingerprint data, DNA data, biographic data, other personal data",NA,https://www.state.gov/17-920-4/,NA,-103.62956281697637,44.74373159693697,Chile,-36.07624648168329,-71.05619085293193,1
United States,NA,NA,2023-07-01,NA,Law enforcement,Implementing Arrangement for Preventing and Combating Serious Crime,"""The PCSC IA, once fully implemented, will fulfill the Enhanced Border Security Partnership requirement of the Visa Waiver Program (VWP), one of several required steps for Chile to maintain its status as a member of the VWP.""",NA,Text not publicly available,https://www.state.gov/u-s-relations-with-chile/,NA,-103.62956281697637,44.74373159693697,Chile,-36.07624648168329,-71.05619085293193,2
United States,NA,NA,2019-12-01,NA,Terrorist screening information,"""Arrangement to exchange terrorism screening information""",NA,NA,"""The U.S. and Colombian governments signed the first of two arrangements to exchange terrorist screening data in December 2019, with an aim to detect and prevent terrorist travel in line with UNSCR 2396 obligations.""",https://statewcloud.gn.apc.org/index.php/f/287199,https://www.state.gov/reports/country-reports-on-terrorism-2019/colombia__trashed/,-103.62956281697637,44.74373159693697,Colombia,3.903480061640729,-73.07703226847784,1
United States,NA,NA,2021-10-21,2021-10-21,Visa and immigration information,Agreement for the Sharing of Visa Information,"ARTICLE2
SCOPE AND PURPOSE
A. This Agreement specifies the terms, relationships, responsibilities, and conditions for the regular sharing of Information between the Parties by query or otherwise.
B. The purpose of this Agreement is to assist in the effective administration and enforcement of the respective immigration and other laws of the Parties regarding Nationals of a Third Country.","Data on Nationals of a Third Country seeking authorization to transit through or travel to the United States or Costa Rica, including decisions relating to the issuance or denial of visas in accordance with the laws of the respective Parties. Information may consist of personal data, statistical data, or both. The particular types of Information to be shared, and categories of Nationals of a Third Country to whom such Information pertains, shall be described in the Addendum to this Agreement.",NA,https://www.state.gov/costa_rica-21-1021,NA,-103.62956281697637,44.74373159693697,Costa Rica,9.976131277670072,-84.18986953693012,1
United States,NA,NA,2011-02-16,2011-08-19,Law enforcement,Agreement on Enhancing Cooperation in Preventing and Combating Serious Crime,The purpose of this Agreement is to enhance the cooperation between the United States of America and the Republic of Croatia in preventing and combating serious crime.,"Fingerprint data, DNA data, ""further personal and other data""",NA,https://www.state.gov/11-819,NA,-103.62956281697637,44.74373159693697,Croatia,45.07589276596011,16.401052947964445,1
United States,NA,NA,NA,NA,Terrorist screening information,Agreement for the Exchange of Terrorism Screening Information,NA,NA,Required under Visa Waiver Programme but no public information available,NA,NA,-103.62956281697637,44.74373159693697,Croatia,45.07589276596011,16.401052947964445,2
United States,NA,NA,2015-12-01,2017-03-31,Law enforcement,Agreement on Enhancing Cooperation in Preventing and Combating Serious Crime,"The purpose of this Agreement is to enhance the cooperation between the Parties in preventing, detecting, combating and investigating serious crime. The scope of this Agreement shall encompass only crimes constituting an offense punishable by a deprivation of liberty of more than one year or more serious penalty. To ensure compliance with their national laws, the Parties may agree to specify particular serious crimes for which a party shall not be obligated to supply personal data as described in Articles 6 and 9 ofthis Agreement.","Fingerprint data, DNA data, biographic data, other personal data",NA,https://www.state.gov/17-331-1/,NA,-103.62956281697637,44.74373159693697,Cyprus,34.91708732815804,33.00581029651418,1
United States,NA,NA,NA,NA,Terrorist screening information,Agreement for the Exchange of Terrorism Screening Information,NA,NA,Required under Visa Waiver Programme but no public information available,NA,NA,-103.62956281697637,44.74373159693697,Cyprus,34.91708732815804,33.00581029651418,2
United States,NA,NA,2008-11-12,2010-05-01,Law enforcement,Agreement on Enhancing Cooperation in Preventing and Combating Serious Crime,"The purpose of this Agreement is to enhance and strengthen the existing cooperation between
the United States of America and the Czech Republic in preventing and combating serious crime.
Cooperation pursuant to this Agreement is without prejudice to mutual legal assistance in criminal
matters which fall under the competence of judicial bodies. Provisions of this Agreement are without
prejudice to other existing or future mechanisms of cooperation, including information exchange,
pursuant to the national law of the Parties.","Fingerprint data, DNA data, biographic data, other personal data",NA,https://www.state.gov/10-501,NA,-103.62956281697637,44.74373159693697,Czech Republic,49.73799668358545,15.3194407108538,1
United States,NA,NA,NA,NA,Terrorist screening information,Agreement for the Exchange of Terrorism Screening Information,NA,NA,Required under Visa Waiver Programme but no public information available,NA,NA,-103.62956281697637,44.74373159693697,Czech Republic,49.73799668358545,15.3194407108538,2
United States,NA,NA,2010-10-14,2011-05-05,Law enforcement,Agreement on Enhancing Cooperation in Preventing and Combating Serious Crime,"Article 2
Purpose of this Agreement
l. The purpose of this Agreement is to enhance the cooperation between the United States of America (the United States) and Denmark in preventing and combating serious crime.
2. The querying powers provided for under this Agreement shall be used only for a criminal justice purpose, including when applied at the border in individual cases where an individual for whom the additional data are sought has been identified for further inspection.","Fingerprint data, DNA data, biographic data, other personal data",NA,https://www.state.gov/11-505,NA,-103.62956281697637,44.74373159693697,Denmark,55.97498216193311,10.042211779455863,1
United States,NA,NA,NA,NA,Terrorist screening information,Agreement for the Exchange of Terrorism Screening Information,NA,NA,Required under Visa Waiver Programme but no public information available,NA,NA,-103.62956281697637,44.74373159693697,Denmark,55.97498216193311,10.042211779455863,2
United States,NA,NA,2008-09-29,2008-11-05,Law enforcement,Agreement on Enhancing Cooperation in Preventing and Combating Serious Crime,The purpose of this Agreement is to enhance the cooperation between the United States and Estonia in preventing and combating serious crime.,"Fingerprint data, DNA data, biographic data, other personal data",NA,https://www.state.gov/08-1105,NA,-103.62956281697637,44.74373159693697,Estonia,58.6729024299068,25.545032877453032,1
United States,NA,NA,NA,NA,Terrorist screening information,Agreement for the Exchange of Terrorism Screening Information,NA,NA,Required under Visa Waiver Programme but no public information available,NA,NA,-103.62956281697637,44.74373159693697,Estonia,58.6729024299068,25.545032877453032,2
United States,Terrorist Screening Center,National Intelligence and Security Services,2019-08-01,NA,Terrorist screening information,Memorandum of Understanding on the Exchange of Terrorist Screening Information,The agreement establishes procedures for access to and exchange of information in order to strengthen the ability of both nations to protect against acts of terrorism. This agreement demonstrates the commitment of both governments to strengthen bilateral cooperation to prevent and address terrorism and advance the security of both countries.,NA,NA,https://et.usembassy.gov/the-united-states-and-ethiopia-sign-agreement-to-exchange-terrorist-screening-information/,NA,-103.62956281697637,44.74373159693697,Ethiopia,8.614400649162723,39.60979227931345,1
United States,NA,NA,2011-12-14,2012-07-01,Law enforcement,Agreement on the Processing and Transfer of Passenger and Name Record (PNR) to the United States Department of Homeland Security,"ARTICLE 1
Purpose
1. The purpose of this Agreement is to ensure security and to protect the life and safety of the public.
2. For this purpose, this Agreement sets forth the responsibilities of the Parties with respect to the conditions under which PNR may be transferred, processed and used, and protected.",Passenger Name Record (PNR) data,NA,https://www.state.gov/12-701,NA,-103.62956281697637,44.74373159693697,European Union,50.8504,4.34878,1
United States,NA,NA,NA,NA,Law enforcement,Agreement on Preventing and Combating Serious Crime,NA,NA,Required under Visa Waiver Programme but no public information available,NA,NA,-103.62956281697637,44.74373159693697,Finland,64.25513599464318,26.19497310415897,1
United States,NA,NA,NA,NA,Terrorist screening information,Agreement for the Exchange of Terrorism Screening Information,NA,NA,Required under Visa Waiver Programme but no public information available,NA,NA,-103.62956281697637,44.74373159693697,Finland,64.25513599464318,26.19497310415897,2
United States,NA,NA,2012-05-03,2016-04-01,Law enforcement,Agreement on Cooperation for Preventing and Combating Terrorism and Serious Crime,"Article 2
Purpose and Scope
1. The purpose of this Agreement is to enhance cooperation between the United States and France in the framework of criminal justice in order to prevent. investigat¢, detect and prosecute offenses linked to sctious crime arid especially to terrorism, in particular by exchanging information on DNA profiles and fingerprint data.
2. The scope of this Agreement covers offenses set forth in the Atutex to this Agreement and other acts punishnbre by a period of deprivalion of liberty of three or more years.","Fingerprint data, DNA data, biographic data, other personal data",NA,https://www.state.gov/wp-content/uploads/2019/02/16-401.1-France-Law-Enforcemt.-with-Correct-Notes.pdf,NA,-103.62956281697637,44.74373159693697,France,42.95514017933541,-6.676141102938848,1
United States,NA,NA,NA,NA,Terrorist screening information,Agreement for the Exchange of Terrorism Screening Information,NA,NA,Required under Visa Waiver Programme but no public information available,NA,NA,-103.62956281697637,44.74373159693697,France,42.95514017933541,-6.676141102938848,2
United States,NA,NA,2017-06-27,2018-06-01,Terrorist screening information,Agreement for the Exchange of Terrorism Screening Information,The purpose of this Agreement is to promote the exchange of Terrorist Screening Information for the sole purpose of enhancing effective counterterrorism efforts.,"Terrorist screening information, Background information, Derogatory information, Correcting information",NA,https://statewcloud.gn.apc.org/index.php/f/287183,NA,-103.62956281697637,44.74373159693697,Georgia,42.17294198743685,43.52425601970848,1
United States,NA,NA,2008-10-01,2011-04-19,Law enforcement,Agreement on Enhancing Cooperation in Preventing and Combating Serious Crime,The purpose of this Agreement is to enhance the cooperation between the United States of America and the Federal Republic of Germany in combating and preventing serious crime.,"Fingerprint data, DNA data, biographic data, other personal data",NA,https://www.state.gov/11-419-1,NA,-103.62956281697637,44.74373159693697,Germany,51.05057720020166,10.364371593778948,1
United States,NA,NA,NA,NA,Terrorist screening information,Agreement for the Exchange of Terrorism Screening Information,NA,NA,Required under Visa Waiver Programme but no public information available,NA,NA,-103.62956281697637,44.74373159693697,Germany,51.05057720020166,10.364371593778948,2
United States,NA,NA,2009-06-28,2010-09-17,Law enforcement,Agreement on Enhancing Cooperation in Preventing and Combating Serious Crime,"Article 2
Purpose and Scope of this Agreement
1. The purpose of this Agreement is to enhance the cooperation between the United States of America and the Hellenic Republic in preventing and combating serious cnme.
2. The scope of this Agreement shall encompass only crimes constituting an offense punishable by a maximum deprivation of liberty of more than one year or a more serious penalty. To ensure compliance with their national laws, the Parties may provide each other lists ofthe particular serious crimes for which a Party shall not be obligated to supply personal data as described in Articles 6 and 9 of the Agreement.","Fingerprint data, DNA data, biographic data, other personal data",NA,https://www.state.gov/10-917,NA,-103.62956281697637,44.74373159693697,Greece,39.0479595976467,22.964285451293357,1
United States,NA,NA,NA,NA,Terrorist screening information,Agreement for the Exchange of Terrorism Screening Information,NA,NA,Required under Visa Waiver Programme but no public information available,NA,NA,-103.62956281697637,44.74373159693697,Greece,39.0479595976467,22.964285451293357,2
United States,NA,NA,2019-09-25,2020-03-25,Asylum cooperation,Agreement for Cooperation in the Examination of Protection Claims,Agreement for determining responsibility for examining claims for international protection.,Such information as may be necessary for the effective implementation of this Agreement subject to national laws and regulations.,NA,https://www.state.gov/honduras-20-325,NA,-103.62956281697637,44.74373159693697,Honduras,14.829080277232153,-86.61761478315469,1
United States,NA,NA,2008-10-01,2008-12-11,Law enforcement,Agreement on Enhancing Cooperation in Preventing and Combating Serious Crime,The purpose of this Agreement is to enhance the cooperation between the United States of America and the Republic of Hungary in preventing and combating crime.,"Fingerprint data, DNA data, biographic data, other personal data",NA,https://www.state.gov/08-1211,NA,-103.62956281697637,44.74373159693697,Hungary,47.16591250909574,19.37926775879001,1
United States,NA,NA,2008-05-20,2008-07-02,Terrorist screening information,Agreement for the Exchange of Screening Information Concerning Known or Suspected Terrorists,"To establish appropriate procedures for access to, and exchange of,
terrorist screening information in order to strengthen the ability of the Parties to protect against acts of terrorism.","Terrorist screening information, Correcting information","""Each Party should have or establish procedures for individuals to register complaints related to screening. If a Party receives a complaint related to information provided by the other Party, the Party receiving the complaint shall provide a copy of the complaint to the other Party and consult, as appropriate, with respect to any actions to be taken. Where appropriate, corrections shall be made to information provided under this Agreement by the Party that provided the information. In no event shall a Party disclose to the individual registering the complaint or to any other private party the fact that a copy of the complaint was sent to the other Party or that it pertains to information provided by the other Party under this Agreement.""",https://www.state.gov/08-702,NA,-103.62956281697637,44.74373159693697,Hungary,47.16591250909574,19.37926775879001,2
United States,NA,NA,2012-05-14,2014-02-24,Law enforcement,Agreement on Enhancing Cooperation in Preventing and Combating Serious Crime,"Article 2
Purpose of this Agreement
I. The purpose of this Agreement is to enhance the cooperation between the United States and Iceland in preventing and combating serious crime.
2. The querying powers provided for under this Agreement shall be used only for prevention, detection and investigation of crime.","Fingerprint data, DNA data, biographic data, other personal data",NA,https://www.state.gov/14-224,NA,-103.62956281697637,44.74373159693697,Iceland,64.99788412903453,-18.580033662710317,1
United States,NA,NA,2012-01-13,NA,Terrorist screening information,Agreement for the Exchange of Terrorism Screening Information,NA,NA,The only information publicly available is the Icelandic data protection authority's opinion on a draft of the agreement.,https://www.personuvernd.is/adrar-urlausnir/ymis-bref/nr/1438,NA,-103.62956281697637,44.74373159693697,Iceland,64.99788412903453,-18.580033662710317,2
United States,NA,NA,2016-06-01,NA,Terrorist screening information,"""Arrangement to exchange terrorism screening information""",NA,NA,"""In 2016, India and the United States signed an arrangement to exchange terrorism screening information""",https://et.usembassy.gov/wp-content/uploads/sites/188/Country-Reports-on-Terrorism-2019-2.pdf,https://statewcloud.gn.apc.org/index.php/f/280549,-103.62956281697637,44.74373159693697,India,22.776643176564722,79.56391094529374,1
United States,NA,NA,2011-07-21,2012-10-19,Law enforcement,Agreement on Enhancing Cooperation in Preventing and Combating Serious Crime,"Article 2
Purpose and Scope of this Agreement
1. The purpose of this Agreement is to enhance the cooperation between the United States and Ireland in preventing and combating serious crime.
2. The querying powers provided for under this Agreement shall be used only for prevention, detection and investigation of crime because particular circumstances give reason to inquire whether the data subject wil1 commit or hac; committed an offence referred to in Article 2, paragraph 3.
3. The offences in respect of which the querying powers provided for under this Agreement shall be used shall be serious offences a<; defined in Article 1.
To ensure compliance with the Parties' respective national laws, the Parties may agree to specify particular serious crimes for which a Party shall not be obligated to supply personal data as described in Articles 6 and 9 of the Agreement.","Fingerprint data, DNA data, biographic data, other personal data",NA,https://www.state.gov/12-1019-1,NA,-103.62956281697637,44.74373159693697,Ireland,53.162533078327236,-8.14571834250351,1
United States,NA,NA,2012-02-17,NA,Terrorist screening information,Agreement for the Exchange of Terrorism Screening Information,NA,NA,The only information publicly available is in Regulations made under the Irish Data Protection Act 2018.,https://www.irishstatutebook.ie/eli/2012/si/209/made/en/print,NA,-103.62956281697637,44.74373159693697,Ireland,53.162533078327236,-8.14571834250351,2
United States,NA,NA,2022-07-06,NA,Law enforcement,"""Preventing and Combating Serious Crime (PCSC) information-sharing agreement""",NA,NA,"""Israeli and US officials took another step on Thursday toward a long-awaited visa waiver deal between the two countries, signing the final bilateral agreement needed to implement the program. Public Security Minister Omer Barlev, accompanied by Interior Minister Ayelet Shaked, signed the Preventing and Combating Serious Crime (PCSC) information-sharing agreement with US Embassy Deputy Chief of Mission Jonathan Shrier.am member but no information available on a PCSC agreement""",https://www.timesofisrael.com/us-israel-sign-final-agreement-needed-for-visa-waiver-but-key-bills-remain-stuck/,NA,-103.62956281697637,44.74373159693697,Israel,31.451255087146482,34.99995095557731,1
United States,NA,NA,NA,NA,Terrorist screening information,Agreement for the Exchange of Terrorism Screening Information,NA,NA,Required under Visa Waiver Programme but no public information available,NA,NA,-103.62956281697637,44.74373159693697,Israel,31.451255087146482,34.99995095557731,2
United States,NA,NA,2009-05-28,2014-10-03,Law enforcement,Agreement on Enhancing Cooperation in Preventing and Combating Serious Crime,"Article 2
Purpose and scope of this Agreement
1. The purpose of this Agreement is to enhance the cooperation between the United States and the Italian Republic in the prevention and investigation of serious crime. It shall not affect the international legal assistance procedures in force.
2. The querying powers provided for under this Agreement shall be used only for prevention and investigation of serious crime, including when an individual has been identified at the border and further inspection is deemed necessary.","Fingerprint data, DNA data, biographic data, other personal data",NA,https://www.state.gov/14-1003-1,NA,-103.62956281697637,44.74373159693697,Italy,42.71568421869796,12.201049078575052,1
United States,NA,NA,NA,NA,Terrorist screening information,Agreement for the Exchange of Terrorism Screening Information,NA,NA,Required under Visa Waiver Programme but no public information available,NA,NA,-103.62956281697637,44.74373159693697,Italy,42.71568421869796,12.201049078575052,2
United States,NA,NA,2014-02-07,2019-01-05,Law enforcement,Agreement on Enhancing Cooperation in Preventing and Combating Serious Crime,"The Parties shall cooperate with each other under the framework established herein to exchange information, including personal data, (hereinafter referred to as ""information"") to be utilized for the purpose of preventing, detecting, and investigating serious crime, particularly terrorism, with the objective of enhancing the security of nationals of both countries, while further facilitating secure international travel under their respective visa waiver programs.","Fingerprint data, biographic data, other personal data",NA,https://www.state.gov/19-105/,NA,-103.62956281697637,44.74373159693697,Japan,37.460880477067235,137.66000627075212,1
United States,NA,NA,NA,NA,Terrorist screening information,Agreement for the Exchange of Terrorism Screening Information,NA,NA,Required under Visa Waiver Programme but no public information available,NA,NA,-103.62956281697637,44.74373159693697,Japan,37.460880477067235,137.66000627075212,2
United States,NA,NA,2008-09-29,2010-07-20,Law enforcement,Agreement on Enhancing Cooperation in Preventing and Combating Serious Crime,The purpose of this Agreement is to enhance the cooperation between the Republic of Latvia and the United States of America in preventing and combating serious crime.,"Fingerprint data, DNA data, biographic data, other personal data",NA,https://www.state.gov/10-720-1,NA,-103.62956281697637,44.74373159693697,Latvia,56.85952164673153,24.92044702001952,1
United States,NA,NA,NA,NA,Terrorist screening information,Agreement for the Exchange of Terrorism Screening Information,NA,NA,Required under Visa Waiver Programme but no public information available,NA,NA,-103.62956281697637,44.74373159693697,Latvia,56.85952164673153,24.92044702001952,2
